ZipCode,Estimate!!Households!!Total,"Estimate!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars)
00601,5397,0.7,0.9,0,0,15292
00602,12858,3.3,2,1,0,18716
00603,19295,4.1,2.5,0.6,0.7,16789
00606,1968,0.7,0.3,0,0,18835
00610,8934,3.4,1.7,0.5,0.4,21239
00611,514,3.7,0,0,3.9,17143
00612,23319,3.1,1.6,0.3,0.6,19934
00616,3342,1.9,1,0,0.3,19130
00617,7820,4.3,1.2,0.2,0.3,19048
00622,2789,0.9,1.3,0,2.1,17728
00623,13933,3.3,2.5,0.9,0.2,18690
00624,7194,2.1,1.3,0.1,0.5,18136
00627,11367,3.9,1.8,0.5,0.4,19745
00631,396,2.3,0,0,0,15234
00636,296,10.5,8.8,0,0,-
00637,7005,2,2.1,0.1,0.3,19042
00638,6032,2.4,0.4,0.2,0.2,18968
00641,8724,2.5,0.5,0.3,0.1,16233
00646,11863,6.7,5.1,4.1,2.8,29568
00647,1927,1,0,0,0.3,14430
00650,5157,1.7,1.4,0,0.3,20362
00652,1250,6.6,0,0.9,0,23813
00653,3591,0.4,0,0,0,11788
00656,6513,3.4,0.4,0,0.1,19054
00659,13214,3.4,3.3,0.8,0.5,20694
00660,6220,3.8,2,0.3,0.5,20770
00662,13974,3.6,1.4,0.2,0.5,17375
00664,5120,1.7,0,0,0,16389
00667,7849,2,0.4,0.2,0,15426
00669,9745,1.8,1,0.1,0.1,17589
00670,2639,0.9,0.2,0,0,15516
00674,14437,4.4,3.2,0.6,0.3,19103
00676,13032,2.6,2.3,0.1,1.3,17423
00677,5763,6.3,3.1,0.8,0.7,24325
00678,8985,1.3,1.4,0,0,18269
00680,17636,2.3,1.5,0.4,0.8,15340
00682,11916,3.8,3.3,1.1,1.9,15678
00683,10721,2.3,1.4,0.6,0.2,16764
00685,14152,2,1.3,0.5,0.6,16785
00687,9654,4.3,1.7,0,0.5,21598
00688,4066,3.8,0.6,0,1.2,16181
00690,2187,5.9,3.1,0,0,18142
00692,11537,5.2,4.9,1.8,1.1,22144
00693,20194,5.4,2.7,0.6,0.5,21647
00694,28,0,0,0,50,-
00698,11647,2.7,1.3,0.5,0.2,16403
00703,9057,2.8,1.6,0.8,0.8,22023
00704,2543,4,1.2,0,0,18917
00705,8683,2.9,2.6,0.4,0.5,21282
00707,3845,1.3,0.1,0,0,21365
00714,6147,2.1,3.2,0.5,0.2,14933
00715,801,0,0,0,0,13787
00716,11125,5.6,2.6,1.5,1.4,19164
00717,6398,2.7,2.6,0.7,0.3,12228
00718,8105,1,0.5,0.3,0,18333
00719,8456,1.8,1.1,1.3,0.6,19197
00720,6495,1.6,1.4,0,0.2,15485
00723,5882,3.3,0.5,0,0.5,18107
00725,29994,5.3,3.8,0.9,1.7,24262
00727,19267,7.4,5.5,1.2,2.5,31204
00728,13021,4.3,2.4,0.5,0.4,20542
00729,16529,5.1,3.9,1.3,1.4,24289
00730,12806,1.9,2.1,0.5,0.8,16734
00731,3933,2.3,1.8,0.4,1,15097
00735,4129,2.6,3.2,0.5,0.4,20864
00736,17400,4.6,3.7,0.9,0.9,24099
00738,11564,4,1.2,0.5,0.5,22162
00739,11792,3,4.1,0.8,0.2,23021
00740,643,0,0,0,0,10984
00741,1394,2,0.6,0.9,0,24143
00745,15803,5.2,2.6,0.4,0.4,23882
00751,7538,2.4,1.8,0.2,0.2,18458
00754,13248,2.9,1.4,0.4,0,19320
00757,7203,2.9,3.1,0.5,0.6,20786
00765,2374,2.2,0.9,0,0,14942
00766,7873,2.5,3.5,1.4,0.5,20774
00767,12011,2.3,1.1,0.3,0,17390
00769,12975,4,2.4,0.4,0.4,18994
00771,11857,4.2,5.1,0.9,0.6,23873
00772,6580,2.1,1.4,0,0,16425
00773,6803,3.7,2,0.2,1,22216
00775,489,1.4,4.7,1.4,0.8,25104
00777,13352,5.5,3.1,0,0.2,22317
00778,14448,7.8,8,2.3,2.6,35690
00780,4443,3.7,4.8,0.9,2,23684
00782,5130,1.1,1.5,0,0,14978
00783,10531,4.1,0.6,0.3,0,19192
00784,13947,3.2,1.9,0.7,0.1,17821
00786,81,0,0,0,0,-
00791,16356,3.7,2.4,0.6,1.8,22316
00794,8731,3.1,2.4,0.2,0.5,19997
00795,14486,3,2.2,0.2,0.2,21252
00901,3133,2.6,9.7,4.4,7.3,27426
00906,91,0,16.5,37.4,6.6,-
00907,8334,11.2,8.1,2.8,8.5,38807
00909,2239,8.4,1.4,1.9,1.5,19512
00911,3656,7.5,9.2,4.1,6,34413
00912,2691,2.9,5.1,1.6,4.8,28011
00913,3040,2.2,1.4,1.5,3.4,5746
00915,10602,1.4,0.9,0.5,0.6,12921
00917,8100,4.1,3.8,1,0.5,16277
00918,7633,8,7.4,2.9,3.4,31993
00920,6911,7.4,3.6,0.9,1.1,26217
00921,13552,4,2.2,0.5,0.8,20147
00923,10278,3,1.2,0.5,0.2,16950
00924,19048,5,3.7,1.2,0.4,19876
00925,2964,1.7,3,0,1.1,12880
00926,35788,8.4,8.1,3.1,4.6,35680
00927,5936,8.3,5.3,4.7,5.9,36638
00934,27,0,37,0,0,-
00949,25663,6.9,4.5,0.8,0.5,29319
00950,0,-,-,-,-,-
00951,149,0,0,0,0,20662
00952,2842,3.1,0,0,0.6,17018
00953,21990,6.4,5.8,1.9,0.5,28459
00956,23846,5.2,3.7,0.4,0.3,25506
00957,14799,6,3,0.6,0.4,26384
00959,17329,6.9,4.1,1.2,1.2,30418
00960,0,-,-,-,-,-
00961,11292,8.2,7.4,1.4,2.5,34346
00962,7567,3.3,1.4,0.7,0.7,17315
00965,1888,1.4,1.6,0.7,0,15407
00966,5976,6.7,11.8,5.2,9.6,50154
00968,1775,12.7,8.1,3,9.3,47372
00969,14577,11.2,10.1,5.5,7.7,50730
00971,9104,6.6,4.8,2.6,0.9,26849
00976,22179,8.4,5,2.7,1.5,33822
00979,8548,10.2,6.3,2,4.3,33503
00982,5804,4.4,2.2,1,0,25569
00983,12664,6.5,2.7,0.9,0.7,28472
00985,12105,5.9,3.2,1,0.4,29693
00987,20202,10.4,6.4,0.6,1.3,33719
01001,6791,10.1,20.7,10.6,7.2,72444
01002,9985,9.7,14.2,8.9,13.9,65013
01003,15,0,0,0,33.3,-
01005,1761,9,34.9,6.5,9.9,103477
01007,5917,13.1,28.8,11.5,10.5,101076
01008,506,15.4,22.1,9.7,9.5,79573
01009,333,21.3,12.9,3.6,10.5,64809
01010,1503,8.3,17.5,14.2,13.9,84830
01011,498,25.7,18.3,5.4,2.8,75640
01012,227,16.7,14.1,12.3,1.8,68894
01013,9375,11.7,13.8,4.2,3.5,52721
01020,13400,11.7,18.3,3.8,3.9,61963
01022,1082,11.2,14.3,2.8,0,50134
01026,454,15.6,22.2,7.7,6.8,76100
01027,8451,15.4,16.3,6.4,5.4,64330
01028,6017,11.8,19.5,11,16.1,95284
01029,228,11.4,17.5,25.9,0,88750
01030,4994,15.5,14.7,13.7,14.1,86136
01031,608,5.9,25,8.1,1.8,49071
01032,198,18.2,25.8,2.5,8.1,83750
01033,2530,10.2,27,11.5,14.5,106821
01034,830,14.8,22.4,13,9.9,91176
01035,2254,17.6,25.2,9.8,15.7,101458
01036,2016,14.7,21.3,15.3,12.8,99400
01037,257,13.2,26.1,12.1,7.8,85250
01038,1111,15.6,23.9,7.2,10.4,90893
01039,709,14.7,26.9,8.7,14.2,99896
01040,15062,9.7,9.4,5.3,4.6,45045
01050,1072,10,22.1,10.8,4.1,70800
01053,712,13.1,6.9,13.2,6.3,56094
01054,708,13.1,15.3,17.8,16,97188
01056,8567,14.9,16.2,6.3,10.9,72563
01057,3485,11.7,18.3,9.2,9.2,72567
01060,7060,10.8,12.9,11.1,12.5,70467
01062,4162,11.4,21.2,7.2,11.9,78526
01063,5,0,0,0,0,-
01066,34,0,23.5,0,0,-
01068,625,23.5,14.9,14.4,7.7,85078
01069,3732,9.3,14.3,11.9,5.7,64300
01070,258,15.1,8.1,9.3,13.2,71000
01071,518,24.9,24.5,9.1,4.2,94286
01072,609,16.4,19.7,12.3,6.4,79226
01073,2318,9,24.9,11.6,16.1,110200
01074,157,47.8,14.6,0,0,81681
01075,7328,9.6,21.2,9.2,13,82278
01077,3648,7.4,24.4,13.9,12.1,100337
01079,237,17.3,14.8,0,4.6,65184
01080,895,25.3,21.6,3.9,2.5,80087
01081,708,21,21.6,9,9.7,85938
01082,4689,11.7,19.3,6,3.2,60281
01083,934,18.4,21.8,6.4,8.4,81078
01084,44,31.8,20.5,0,6.8,78750
01085,15608,13.3,18.4,8.6,9.3,74341
01088,345,19.1,5.8,12.8,0,60260
