Date,LT COMPOSITE (>10 Yrs)
2023-01-03,4.02
2023-01-04,3.93
2023-01-05,3.92
2023-01-06,3.8
2023-01-09,3.78
2023-01-10,3.87
2023-01-11,3.8
2023-01-12,3.69
2023-01-13,3.73
2023-01-17,3.76
2023-01-18,3.62
2023-01-19,3.65
2023-01-20,3.73
2023-01-23,3.76
2023-01-24,3.7
2023-01-25,3.7
2023-01-26,3.71
2023-01-27,3.72
2023-01-30,3.75
2023-01-31,3.74
2023-02-01,3.62
2023-02-02,3.63
2023-02-03,3.72
2023-02-06,3.77
2023-02-07,3.82
2023-02-08,3.81
2023-02-09,3.85
2023-02-10,3.92
2023-02-13,3.88
2023-02-14,3.9
2023-02-15,3.95
2023-02-16,4.02
2023-02-17,3.99
2023-02-21,4.1
2023-02-22,4.06
2023-02-23,4.01
2023-02-24,4.08
2023-02-27,4.07
2023-02-28,4.06
2023-03-01,4.13
2023-03-02,4.19
2023-03-03,4.06
2023-03-06,4.08
2023-03-07,4.05
2023-03-08,4.05
2023-03-09,4.03
2023-03-10,3.83
2023-03-13,3.78
2023-03-14,3.85
2023-03-15,3.76
2023-03-16,3.8
2023-03-17,3.7
2023-03-20,3.76
2023-03-21,3.84
2023-03-22,3.78
2023-03-23,3.73
2023-03-24,3.72
2023-03-27,3.85
2023-03-28,3.85
2023-03-29,3.86
2023-03-30,3.83
2023-03-31,3.76
2023-04-03,3.72
2023-04-04,3.67
2023-04-05,3.62
2023-04-06,3.61
2023-04-07,3.68
2023-04-10,3.69
2023-04-11,3.7
2023-04-12,3.71
2023-04-13,3.75
2023-04-14,3.8
2023-04-17,3.87
2023-04-18,3.85
2023-04-19,3.86
2023-04-20,3.82
2023-04-21,3.85
2023-04-24,3.8
2023-04-25,3.71
2023-04-26,3.75
2023-04-27,3.83
2023-04-28,3.73
2023-05-01,3.89
2023-05-02,3.76
2023-05-03,3.74
2023-05-04,3.75
2023-05-05,3.8
2023-05-08,3.87
2023-05-09,3.89
2023-05-10,3.84
2023-05-11,3.77
2023-05-12,3.82
2023-05-15,3.88
2023-05-16,3.92
2023-05-17,3.93
2023-05-18,3.98
2023-05-19,4.03
2023-05-22,4.05
2023-05-23,4.04
2023-05-24,4.06
2023-05-25,4.11
2023-05-26,4.08
2023-05-30,4
2023-05-31,3.95
2023-06-01,3.92
2023-06-02,3.97
2023-06-05,3.98
2023-06-06,3.96
2023-06-07,4.05
2023-06-08,3.99
2023-06-09,3.99
2023-06-12,3.98
2023-06-13,4.06
2023-06-14,4.02
2023-06-15,3.95
2023-06-16,3.98
2023-06-20,3.94
2023-06-21,3.92
2023-06-22,3.99
2023-06-23,3.94
2023-06-26,3.94
2023-06-27,3.96
2023-06-28,3.92
2023-06-29,4.04
2023-06-30,3.98
2023-07-03,4
2023-07-05,4.09
2023-07-06,4.16
2023-07-07,4.2
2023-07-10,4.18
2023-07-11,4.16
2023-07-12,4.08
2023-07-13,4.01
2023-07-14,4.04
2023-07-17,4.04
2023-07-18,4.02
2023-07-19,3.96
2023-07-20,4.04
2023-07-21,4.04
2023-07-24,4.05
2023-07-25,4.08
2023-07-26,4.06
2023-07-27,4.19
2023-07-28,4.16
2023-07-31,4.15
2023-08-01,4.24
2023-08-02,4.29
2023-08-03,4.43
2023-08-04,4.31
2023-08-07,4.36
2023-08-08,4.29
2023-08-09,4.27
2023-08-10,4.36
2023-08-11,4.4
2023-08-14,4.4
2023-08-15,4.44
2023-08-16,4.5
2023-08-17,4.53
2023-08-18,4.5
2023-08-21,4.58
2023-08-22,4.55
2023-08-23,4.41
2023-08-24,4.44
2023-08-25,4.44
2023-08-28,4.42
2023-08-29,4.36
2023-08-30,4.36
2023-08-31,4.33
2023-09-01,4.42
2023-09-05,4.51
2023-09-06,4.5
2023-09-07,4.49
2023-09-08,4.47
2023-09-11,4.5
2023-09-12,4.48
2023-09-13,4.47
2023-09-14,4.52
2023-09-15,4.54
2023-09-18,4.53
2023-09-19,4.57
2023-09-20,4.54
2023-09-21,4.7
2023-09-22,4.66
2023-09-25,4.8
2023-09-26,4.83
2023-09-27,4.88
2023-09-28,4.87
2023-09-29,4.88
2023-10-02,4.96
2023-10-03,5.1
2023-10-04,5.02
2023-10-05,5.04
2023-10-06,5.1
2023-10-10,4.99
2023-10-11,4.88
2023-10-12,5.01
2023-10-13,4.93
2023-10-16,5.03
2023-10-17,5.1
2023-10-18,5.17
2023-10-19,5.28
2023-10-20,5.25
2023-10-23,5.16
2023-10-24,5.12
2023-10-25,5.25
2023-10-26,5.16
2023-10-27,5.17
2023-10-30,5.19
2023-10-31,5.18
2023-11-01,5.1
2023-11-02,4.96
2023-11-03,4.89
2023-11-06,4.97
2023-11-07,4.87
2022-01-03,2
2022-01-04,2.06
2022-01-05,2.08
2022-01-06,2.08
2022-01-07,2.11
2022-01-10,2.11
2022-01-11,2.08
2022-01-12,2.09
2022-01-13,2.05
2022-01-14,2.13
2022-01-18,2.19
2022-01-19,2.16
2022-01-20,2.15
2022-01-21,2.08
2022-01-24,2.11
2022-01-25,2.13
2022-01-26,2.18
2022-01-27,2.11
2022-01-28,2.09
2022-01-31,2.12
2022-02-01,2.14
2022-02-02,2.12
2022-02-03,2.16
2022-02-04,2.25
2022-02-07,2.23
2022-02-08,2.27
2022-02-09,2.27
2022-02-10,2.34
2022-02-11,2.27
2022-02-14,2.32
2022-02-15,2.39
2022-02-16,2.37
2022-02-17,2.34
2022-02-18,2.28
2022-02-22,2.28
2022-02-23,2.33
2022-02-24,2.33
2022-02-25,2.34
2022-02-28,2.21
2022-03-01,2.15
2022-03-02,2.28
2022-03-03,2.28
2022-03-04,2.18
2022-03-07,2.22
2022-03-08,2.27
2022-03-09,2.33
2022-03-10,2.4
2022-03-11,2.39
2022-03-14,2.51
2022-03-15,2.52
2022-03-16,2.51
2022-03-17,2.55
2022-03-18,2.47
2022-03-21,2.61
2022-03-22,2.66
2022-03-23,2.59
2022-03-24,2.59
2022-03-25,2.69
2022-03-28,2.66
2022-03-29,2.62
2022-03-30,2.57
2022-03-31,2.53
2022-04-01,2.54
2022-04-04,2.59
2022-04-05,2.68
2022-04-06,2.75
2022-04-07,2.82
2022-04-08,2.89
2022-04-11,2.96
2022-04-12,2.94
2022-04-13,2.92
2022-04-14,3.04
2022-04-18,3.07
2022-04-19,3.13
2022-04-20,3.02
2022-04-21,3.07
2022-04-22,3.09
2022-04-25,3.01
2022-04-26,2.98
2022-04-27,3.03
2022-04-28,3.04
2022-04-29,3.09
2022-05-02,3.2
2022-05-03,3.15
2022-05-04,3.15
2022-05-05,3.3
2022-05-06,3.38
2022-05-09,3.33
2022-05-10,3.26
2022-05-11,3.19
2022-05-12,3.16
2022-05-13,3.26
2022-05-16,3.24
2022-05-17,3.31
2022-05-18,3.2
2022-05-19,3.18
2022-05-20,3.12
2022-05-23,3.21
2022-05-24,3.11
2022-05-25,3.1
2022-05-26,3.12
2022-05-27,3.11
2022-05-31,3.22
2022-06-01,3.25
2022-06-02,3.24
2022-06-03,3.27
2022-06-06,3.35
2022-06-07,3.29
2022-06-08,3.34
2022-06-09,3.33
2022-06-10,3.38
2022-06-13,3.61
2022-06-14,3.65
2022-06-15,3.57
2022-06-16,3.52
2022-06-17,3.48
2022-06-21,3.56
2022-06-22,3.41
2022-06-23,3.37
2022-06-24,3.43
2022-06-27,3.48
2022-06-28,3.47
2022-06-29,3.38
2022-06-30,3.3
2022-07-01,3.26
2022-07-05,3.21
2022-07-06,3.31
2022-07-07,3.35
2022-07-08,3.43
2022-07-11,3.33
2022-07-12,3.28
2022-07-13,3.24
2022-07-14,3.27
2022-07-15,3.25
2022-07-18,3.3
2022-07-19,3.33
2022-07-20,3.34
2022-07-21,3.24
2022-07-22,3.14
2022-07-25,3.19
2022-07-26,3.18
2022-07-27,3.18
2022-07-28,3.14
2022-07-29,3.13
2022-08-01,3.04
2022-08-02,3.14
2022-08-03,3.1
2022-08-04,3.09
2022-08-05,3.2
2022-08-08,3.14
2022-08-09,3.16
2022-08-10,3.19
2022-08-11,3.3
2022-08-12,3.27
2022-08-15,3.24
2022-08-16,3.25
2022-08-17,3.3
2022-08-18,3.29
2022-08-19,3.39
2022-08-22,3.41
2022-08-23,3.43
2022-08-24,3.49
2022-08-25,3.41
2022-08-26,3.38
2022-08-29,3.44
