PropertyName,Address,City,State,ZipCode,PhoneNumber,TotalSqFt,NetRentableSqFt,TotalAcres,NumBuildings,NumFloors,PropertyStatus,ImpressionRating,LocationRating,CompletionDate
720 Self Storage,720 6th Avenue,Troy,NY,12182,5182337233,17769,15103,1.91,3,2,Completed,B,C+,1970-01-01
A - Metro Climate Controlled Self Storage,4773 Western Turnpike,Altamont,NY,12009,5183578712,44268,42054,10.6,6,1,Completed,B,B-,2013-01-01
A - Metro Movers Self Storage,889 Troy-Schenectady Road,Latham ,NY,12110,5187834080,43069,36608,5.7,6,2,Completed,B,B,1989-01-01
A - Metro Movers Self Storage,2703 Curry Road,Guilderland,NY,12303,5183555005,37125,31556,4.55,2,2,Completed,B,B-,2011-01-01
Accessible Self Storage,1233 Route 9,Hudson,NY,12534,5188220536,10900,10355,17.4,4,1,Completed,C,C,2000-01-01
Accountable Self Storage,4071 Route 9,Hudson,NY,12534,5188220399,8100,7695,5.06,2,1,Completed,C,C,1999-01-01
Adirondack Self Storage,2000 Route 9 North,Greenfield Center,NY,12833,5185831100,14667,13933,2.92,5,1,Completed,C,C,1994-01-01
Affordable Self Storage,90 Healy Blvd,Hudson,NY,12534,5188285213,53100,50445,2.74,12,1,Completed,C,C+,1990-01-01
Affordable Self Storage,22 Kipp Lane,Hudson,NY,12534,5188285213,16200,15390,4.67,1,1,Completed,B,C,2018-08-10
Affordable Storage,655 Route 9,Gansevoort,NY,12831,5185120098,14964,14215,1.94,7,1,Completed,C,B-,1988-01-01
Albany - Menands Self Storage,1 Broadway Self Storage,Albany,NY,12204,5188802990,83380,62535,0.45,1,5,Completed,C,C+,2000-01-01
Albany Superstorage,44 Broadway,Albany,NY,12202,5184341906,83312,62484,0.68,1,5,Completed,A,C,2011-01-01
All Safe Storage,1627 US Route 9W,Selkirk,NY,12158,5187670400,11824,11232,24.4,2,1,Completed,C,C,2006-01-01
Alternative Self Storage,296 Morris Road,Schenectady,NY,12303,5183564952,37170,35311,4.8,5,1,Completed,B,B+,2007-01-01
Northway Exit 16 Self Storage,163 Ballard Road,Wilton,NY,12831,5185333659,66740,50055,9.65,1,3,Completed,A,C+,2020-03-23
Bentley Self - Storage,721 River Road,Glenmont,NY,12077,5184651900,24784,23544,8,4,1,Completed,B,C,2005-01-01
Bethlehem Self - Storage,15-25 Yard Road,Feura Bush,NY,12067,5187673212,15400,14630,6.64,10,1,Completed,C,C+,1991-01-01
Brunswick Self Storage,40 Brick Church Road,Troy,NY,12180,5182794501,21600,20520,18.92,4,1,Completed,C,C+,2001-01-01
Burnt Hills Self Storage,736 Route 50,Burnt Hills,NY,12027,5183993300,56573,53744,5.01,10,1,Completed,B,B-,1999-01-01
Campbell Avenue Storage,525 Campbell Avenue,Troy,NY,12180,5182727368,38419,36498,3.83,9,1,Completed,C,C+,1990-01-01
Canaan Self Storage,30 Flints Crossing Road,Canaan,NY,12029,4134410083,21800,20710,3.59,6,1,Completed,C,C+,2005-01-01
Cangelosi Self Storage,5660 State Route 23,Windham,NY,12496,5187343914,9600,9120,1.1,4,1,Completed,C,C+,2001-01-01
Central Estate Self Storage,3882 Western Tpke,Duanesburg,NY,12056,5188958525,12181,11571,5,2,1,Completed,B,C+,2001-01-01
Central Self Storage,2758 State Route 7,Cobleskill,NY,12043,5182968893,50728,48191,5.14,9,1,Completed,B,C+,2000-01-01
Charlie's Self Storage,4524 Route 32,Catskill,NY,12414,5186782210,18060,17157,4,5,1,Completed,C,C,1991-01-01
Chatham Self Storage,1101 Rt 295,East Chatham,NY,12060,5183925625,36000,34200,6.14,10,1,Completed,C,C,2003-01-01
ValuSpace Personal Storage,1607 Route 9,Halfmoon,NY,12065,5185793810,110983,83237,3.27,6,3,Completed,B,B,2019-11-15
Coon Self Storage,1840 Route 9H,Hudson,NY,12534,5188228136,73530,69853,25.6,10,1,Completed,C,C,1997-01-01
Coon Self Storage,1005 State Route 23,Craryville,NY,12521,5188512624,55790,53000,34.4,10,1,Completed,C,C,2010-01-01
Corning Hill Storage,11 River Road,Glenmont,NY,12077,5184361014,18669,15868,5.9,2,2,Completed,C,C+,1980-01-01
Country Storage,23 Tybush Lane,Troy,NY,12180,5182793174,14310,13594,3.86,4,1,Completed,C,C,1991-01-01
County Line Self - Storage,14557 US Route 9 West,Ravena,NY,12143,5187562600,25360,24092,2.33,7,1,Completed,C,C+,1990-01-01
Crocetta Brothers,2113 Central Avenue,Schenectady,NY,12304,5183740330,13475,12801,1.88,3,1,Completed,C,C+,2000-01-01
Dieckelmann Self Storage,3429 US Route 9,Valatie,NY,12184,5187842151,13200,12540,5.9,2,1,Completed,C,C,1998-01-01
Eagle Tool Rental & Storage,13729 US Highway 9 West,West Coxsackie,NY,12192,5187566531,3600,3420,5.9,2,1,Completed,C,C,2006-01-01
